year,station_id,accumulate_precipitation
1988,USC00132999,6818.0
1988,USC00134063,4036.0
1988,USC00134142,5063.0
1988,USC00134735,6208.0
1988,USC00134894,4113.0
1988,USC00135769,4245.0
1988,USC00135796,5561.0
1988,USC00135952,5833.0
1988,USC00137147,5140.0
1988,USC00137161,7075.0
1988,USC00137979,7742.0
1988,USC00138296,4289.0
1988,USC00138688,4704.0
1988,USC00250070,5436.0
1988,USC00250130,1865.0
1988,USC00250375,4951.0
1988,USC00250420,5298.0
1988,USC00250435,4022.0
1988,USC00250622,3778.0
1988,USC00250640,5332.0
1988,USC00251145,4307.0
1988,USC00251200,5525.0
1988,USC00252020,4894.0
1988,USC00252100,5483.0
1988,USC00252205,5032.0
1988,USC00252820,5227.0
1988,USC00252840,4137.0
1988,USC00253035,4398.0
1988,USC00253175,4876.0
1988,USC00253185,5208.0
1988,USC00253365,6543.0
1988,USC00253615,3479.0
1988,USC00253630,5110.0
1988,USC00253660,5096.0
1988,USC00253715,5555.0
1988,USC00253735,4572.0
1988,USC00253910,5784.0
1988,USC00254110,4964.0
1988,USC00254440,4510.0
1988,USC00254900,5275.0
1988,USC00254985,5959.0
1988,USC00255080,4730.0
1988,USC00255310,5076.0
1988,USC00255470,4060.0
1988,USC00255565,4940.0
1988,USC00256040,5377.0
1988,USC00256135,4954.0
1988,USC00256570,2974.0
1988,USC00256970,6222.0
1988,USC00257070,4446.0
1988,USC00257515,4084.0
1988,USC00257715,4839.0
1988,USC00258395,4734.0
1988,USC00258465,5418.0
1988,USC00258480,4936.0
1988,USC00258915,5363.0
1988,USC00259090,5314.0
1988,USC00259510,4956.0
1988,USC00331072,6910.0
1988,USC00331152,8444.0
1988,USC00331541,8269.0
1988,USC00331592,9023.0
1988,USC00331890,7680.0
1988,USC00332098,7023.0
1988,USC00332119,8290.0
1988,USC00332791,6302.0
1988,USC00333375,6611.0
1988,USC00333758,9875.0
1988,USC00333780,9016.0
1988,USC00334189,7045.0
1988,USC00335041,8201.0
1988,USC00335297,4235.0
1988,USC00335315,7353.0
1988,USC00336118,5835.0
1988,USC00336196,6740.0
1988,USC00336600,9266.0
1988,USC00336781,8804.0
1988,USC00338313,6314.0
1988,USC00338534,6364.0
1988,USC00338552,8323.0
1988,USC00338769,8515.0
1988,USC00338822,7904.0
1988,USC00338830,7514.0
1988,USC00339312,8982.0
1989,USC00110072,7937.0
1989,USC00110187,10501.0
1989,USC00110338,7968.0
1989,USC00111280,6261.0
1989,USC00111436,10752.0
1989,USC00112140,8975.0
1989,USC00112193,7955.0
1989,USC00112348,7571.0
1989,USC00112483,9766.0
1989,USC00113335,8551.0
1989,USC00114108,7891.0
1989,USC00114198,6402.0
1989,USC00114442,6470.0
1989,USC00114823,5848.0
1989,USC00115079,5096.0
1989,USC00115326,7089.0
1989,USC00115515,12582.0
1989,USC00115712,8525.0
1989,USC00115768,7415.0
1989,USC00115833,6140.0
1989,USC00115901,7515.0
1989,USC00115943,10058.0
1989,USC00116446,12255.0
1989,USC00116526,6662.0
1989,USC00116558,12339.0
1989,USC00116579,7661.0
1989,USC00116610,12821.0
1989,USC00116910,7323.0
1989,USC00117551,6245.0
1989,USC00118147,9441.0
1989,USC00118740,8854.0
1989,USC00118916,6111.0
1989,USC00119241,6570.0
1989,USC00119354,7863.0
1989,USC00120177,11759.0
1989,USC00120200,9912.0
1989,USC00120676,9458.0
1989,USC00120784,13916.0
1989,USC00121030,12841.0
1989,USC00121229,9922.0
1989,USC00121425,12498.0
1989,USC00121747,12178.0
1989,USC00121873,10920.0
1989,USC00122149,9635.0
1989,USC00123418,8454.0
1989,USC00123513,12448.0
1989,USC00123527,12207.0
1989,USC00124008,8969.0
1989,USC00124181,8600.0
1989,USC00124837,8967.0
1989,USC00125237,14130.0
1989,USC00125337,10026.0
1989,USC00126001,12231.0
1989,USC00126580,12989.0
1989,USC00126705,13795.0
1989,USC00127125,13619.0
1989,USC00127298,8742.0
1989,USC00127482,8551.0
1989,USC00127522,13827.0
1989,USC00127646,11924.0
1989,USC00127755,11581.0
1989,USC00127875,13711.0
1989,USC00127935,12203.0
1989,USC00128036,14112.0
1989,USC00129080,13345.0
1989,USC00129113,14482.0
1989,USC00129253,15209.0
1989,USC00129511,7626.0
1989,USC00129557,11363.0
1989,USC00129670,8314.0
1989,USC00130112,7868.0
1989,USC00130133,4373.0
1989,USC00130600,7145.0
1989,USC00131402,4212.0
1989,USC00131533,7762.0
1989,USC00131635,7258.0
1989,USC00132724,4733.0
1989,USC00132789,8146.0
1989,USC00132864,7111.0
1989,USC00132977,4231.0
1989,USC00132999,7662.0
1989,USC00134063,6831.0
1989,USC00134142,6196.0
1989,USC00134735,3600.0
1989,USC00134894,6507.0
1989,USC00135769,7205.0
